Foundation URI,Linearization (release) URI,Code,BlockId,Title,ClassKind,DepthInKind,IsResidual,PrimaryLocation,ChapterNo,BrowserLink,iCatLink,isLeaf,noOfNonResidualChildren,Version:2025 Oct 06 - 22:30 UTC
http://id.who.int/icd/entity/1662217755,http://id.who.int/icd/release/11/beta/icf/1662217755,b21000,,- - - - - - Binocular acuity of distant vision,category,3,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1950026459,http://id.who.int/icd/release/11/beta/icf/1950026459,b21001,,- - - - - - Monocular acuity of distant vision,category,3,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1296279451,http://id.who.int/icd/release/11/beta/icf/1296279451,b21002,,- - - - - - Binocular acuity of near vision,category,3,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1517011803,http://id.who.int/icd/release/11/beta/icf/1517011803,b21003,,- - - - - - Monocular acuity of near vision,category,3,False,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/2022689055/other,b21008,,- - - - - - Other specified visual acuity functions,category,3,True,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/2022689055/unspecified,b21009,,"- - - - - - Visual acuity functions, unspecified",category,3,True,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1873259999,http://id.who.int/icd/release/11/beta/icf/1873259999,b2101,,- - - - - Visual field functions,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1457455263,http://id.who.int/icd/release/11/beta/icf/1457455263,b2102,,- - - - - Quality of vision,category,2,False,True,,browser,iCat,False,4,
http://id.who.int/icd/entity/1171742188,http://id.who.int/icd/release/11/beta/icf/1171742188,b21020,,- - - - - - Light sensitivity,category,3,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1392458028,http://id.who.int/icd/release/11/beta/icf/1392458028,b21021,,- - - - - - Colour vision,category,3,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1804047468,http://id.who.int/icd/release/11/beta/icf/1804047468,b21022,,- - - - - - Contrast sensitivity,category,3,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/2091905196,http://id.who.int/icd/release/11/beta/icf/2091905196,b21023,,- - - - - - Visual picture quality,category,3,False,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/1457455263/other,b21028,,- - - - - - Other specified quality of vision,category,3,True,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/1457455263/unspecified,b21029,,"- - - - - - Quality of vision, unspecified",category,3,True,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/848997900/other,b2108,,- - - - - Other specified seeing functions,category,2,True,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/848997900/unspecified,b2109,,"- - - - - Seeing functions, unspecified",category,2,True,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/2031311308,http://id.who.int/icd/release/11/beta/icf/2031311308,b215,,- - - - Functions of structures adjoining the eye,category,1,False,True,,browser,iCat,False,4,
http://id.who.int/icd/entity/1867763097,http://id.who.int/icd/release/11/beta/icf/1867763097,b2150,,- - - - - Functions of internal muscles of the eye,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/2021370201,http://id.who.int/icd/release/11/beta/icf/2021370201,b2151,,- - - - - Functions of the eyelid,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1090716697,http://id.who.int/icd/release/11/beta/icf/1090716697,b2152,,- - - - - Functions of external muscles of the eye,category,2,False,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1445683417,http://id.who.int/icd/release/11/beta/icf/1445683417,b2153,,- - - - - Functions of lachrymal glands,category,2,False,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/2031311308/other,b2158,,- - - - - Other specified functions of structures adjoining the eye,category,2,True,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/2031311308/unspecified,b2159,,"- - - - - Functions of structures adjoining the eye, unspecified",category,2,True,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1787037476,http://id.who.int/icd/release/11/beta/icf/1787037476,b220,,- - - - Sensations associated with the eye and adjoining structures,category,1,False,True,,browser,iCat,True,0,
,http://id.who.int/icd/release/11/beta/icf/890173921/unspecified,b229,,"- - - - Seeing and related functions, other specified and unspecified",category,1,True,True,,browser,iCat,True,0,
http://id.who.int/icd/entity/1255154286,http://id.who.int/icd/release/11/beta/icf/1255154286,,BlockL3-b23,- - - Hearing and vestibular functions,block,3,False,True,,browser,iCat,False,3,
http://id.who.int/icd/entity/341745147,http://id.who.int/icd/release/11/beta/icf/341745147,b230,,- - - - Hearing functions,category,1,False,True,,browser,iCat,False,5,
